Ik stond buiten in de frisse lucht, mijn blik ging omhoog naar de hemel en ik vroeg me af hoe mijn dag zou worden. 	['ijsje', 'metro', 'werkplek', 'collega', 'uitlaatgassen']
Zeven jaar geleden ben ik naar Amsterdam verhuisd, waar ik intussen mijn thuis gevonden heb. Ik geniet van het leven in de stad en heb al veel ervaring opgedaan met haar beroemdheden, kleuren, cultuur en interessante bewoners.	['citeren', 'verhelderen', 'vreugdevol', 'proberen', 'gesteund']
Ik stapte de stad binnen en keek om me heen. Het was druk op straat, mensen renden hier en daar en lachten. 	['winkelen', 'uiteten', 'muziek', 'fietsen', 'structuur']
Ze was moe na een lange werkdag in de stad. Ze besloot om even te rusten op de bank, terwijl ze naar buiten keek naar de staalgrijze hemel.	['zuchten', 'fronsen', 'genieten', 'vervloeken', 'stilzitten']
Toen ik naar buiten stapte begon het te regenen, maar ik besloot mijn wandeling over de markt toch door te zetten.	['verkopers', 'geuren', 'bessen', 'gesprekken', 'banden']
Ik stond op het station, klaar om te vertrekken. Om mij heen stonden vrienden en familie, iedereen was verdrietig dat ik ging.	['wijk', 'vermoeid', 'station', 'trein', 'hopen']
Ik stond in de winkel, op zoek naar een nieuwe trui voor de herfst. 	['Hoed', 'Krant', 'Cadeau', 'Appelmoes', 'Isolatie']
Ik zat op de bus naar het werk, in gedachten mijmerend over de dag die voor me lag.	['snelweg', 'zonlicht', 'werkgever', 'vrienden', 'stadscentrum']
Ik stapte het zonovergoten buitengoed op en moest plotseling huiveren van de vochtige ochtendlucht. Ik was hier om me te ontspannen en ware afgronden te verkennen. 	['meerlagig', 'besluiteloos', 'vergetelheid', 'aangebrand', 'vreugdevol']
Het was een mooie zonnige dag toen ik opstond om aan mijn dag te beginnen. Ik ging naar de winkel om melk, brood, kaas, aardappelen, spek te kopen .	['toast', 'suiker', 'uitchecken', 'benzine', 'cola']
In de zomer, wandelde ik vaak door het bos met mijn katje. We liepen samen langs bloemen, vogels en eekhoorns.	['zeilboot', 'regenboog', 'komeet', 'spin webben,', 'boottocht']
Hij was op weg naar zijn werk, in de ochtendschemering. Hij was al vroeg opgestaan om de drukte te vermijden.	['vermoeiend', 'verdrietig', 'dilemma', 'sopansend', 'verrast']
Hij liep door de stad op zoek naar de supermarkt, maar hij was zich er niet van bewust dat hij al veel van zijn tijd had besteed aan het zoeken. 	['vriendelijk', 'vermoeidheid', 'verrast', 'rustig', 'regendruppel']
Ik was op zoek naar mijn examen boeken toen ik op school kwam, maar ik kon ze nergens vinden.	['kapot', 'verdwaald', 'verward', 'boos', 'nadenken']
De vrouw wilde de zonnige dag gebruiken om naar het park te gaan. Ze droeg een hoed en nam haar hond mee.	['fietsen', 'fietspad', 'kat', 'meeuw', 'strand']
Het was een mooie ochtend in Nederland. De vogels zongen en de bomen stonden vol bloesem.	['fietser', 'bus', 'station', 'ontdekken', 'cafe']
David stond voor de deur, hij was klaar om naar buiten te gaan. Hij had al zijn boeken gesorteerd, voorbereiding gemaakt en was nu klaar om af te reizen.	['beduusd', 'ontspannen', 'rommelig', 'verrukt', 'strand']
De man stapte uit het treinstation, op zoek naar het kantoor waar hij die dag moest gaan werken. Hij had al een tijdje niet meer in de stad gewerkt en was helemaal verdwaald. 	['hoopvol', 'onzeker', 'omgeving', 'bergen', 'aankomst']
De leraar gaf een verhaal over twee jongens die naar school fietsten. 	['Slank', 'landschap', 'kastanje', 'vlinders', 'schattig']
Het was een eenvoudige dag waarop Tom zijn weg voortzette. Hij kwam snel, luidruchtig en vastberaden op school aan.	['vermoeid', 'optrekken', 'verlangen', 'frisse', 'droge']
Er was een klein meisje dat altijd buiten speelde. Haar ogen stralend van verwondering en avontuur terwijl ze genoot van elke dode bladeren die ze zou verzamelen.	vermoeid, nevel, onbekend, vertellen, voetstappen
Het was al laat toen hij besloot naar huis te gaan. Hij begon te wandelen, richting het park waar hij uiteindelijk zou terugkeren naar zijn huis.	['vermoeid', 'druk', 'warm', 'uitgeput', 'vredig']
Bij het zien van de prachtige zonsondergang staarde ik lange tijd in gedachte verzonken uit het raam, 	['zuidenwind', 'zelfstandig', 'groente', 'bladeren', 'maatschappij']
Grootmoeder ging naar de winkel om melk en kaas te kopen. Ze vonden ook ham, worst, eieren, blikjes frisdrank en	['brood', 'vleeswaren', 'yoghurt', 'sinaasappelsap', 'appels']
Het was een drukke dag voor Mark. Hij stond al vroeg op om naar zijn werk te gaan en moest veel afspraken afhandelen. Ondanks de drukte genoot hij van de prachtige dag.	['teleurgesteld', 'verrassing', 'vermoeidheid', 'gelegenheid', 'verwachting']
De held begon de dag met een kop thee, besloot hij durf te hebben en de uitdaging aan te gaan.	['ondervinden', 'ervaring', 'avontuur', 'encourageren', 'durven']
Een gewone middag in de stad, zag Emiel wat heerlijk voedsel bij de marktstal. Hij besloot om te stoppen en het Henry proberen.	['samen', 'verkopen', 'langzaam', 'heet', 'wandelen']
Het was een warme zomerdag toen Frederik op weg ging naar de stad. But, hij had geen idee wat hem te wachten stond.	['Fiets', 'Kleren', 'Krant', 'Restaurant', 'Winkel']
Ik wachtte bij de bushalte, hoopvol dat de bus op tijd zou arriveren. Met mij stonden daar nog vier mensen.	['fietsen', 'stilte', 'stenen', 'wind', 'bord']
Het was een rustige dag in de stad. De vogels zongen in de stille lucht, terwijl mensen op straat liepen en genoten van het warme weer.	['mensen omhelzen', 'alleenheid', 'vrolijkheid', 'ontmoeten', 'uitgaan']
Het was een mooie dag voor Agnes. Ze stond bij het raam en keek naar buiten om de bloesem van de blauwe kers te zien. 	['regenboog', 'mens', 'vriendelijk', 'liefde', 'blij']
Het was een drukke dag in het kantoor van de accountant. Er klonken stamels papier en luide stemmen door de gangen, terwijl iedereen werkte om de deadline te halen.	['belasting', 'moe', 'brief', 'telefoon', 'koffie']
Vandaag was het een drukke dag voor John. Hij stond vroeg op om zijn taken af te maken in de buurt.,	['werk', 'vrienden', 'eten', 'ontspannen', 'avond']
Hij liep de marktplaats op en deed zijn boodschappen in een grote mand.	['surfen', 'staan', 'koekje', 'licht', 'onderscheiden']
Het was een mooie dag in Amsterdam en de lucht was helder. Op het plein zaten mensen te genieten van de zon, lachend tegen elkaar.	fiets, café, bier, park, festival
Op een dag, besloot ik dat ik naar buiten zou gaan om in de frisse lucht te voelen. Ik liep naar buiten en ontdekte een schitterende tuin vol bloemen,	['zon', 'grijs', 'heuvels', 'regen', 'gras']
Het was een zonnige dag en Jan besloot naar het park te gaan om wat frisse lucht te krijgen. 	['kat', 'bomen', 'bladeren', 'vogel', 'fietsen']
Het paard rende de prachtige vlakten in, terwijl de zon aan de blauwe lucht opging. De lucht was vol met geuren en geluiden van de omliggende boerderijen.	['bochten', 'zomer', 'strand', 'karper', 'duinen']
Hij stond op het station en keek om zich heen. Als hij de trein zou missen, zou hij laat zijn voor het werk.	['wagen', 'stilte', 'tassen', 'raam', 'koffer']
Ik liep door het park op zoek naar avontuur,	['krachtig', 'zonnig', 'roemruchtig', 'enthousiast', 'grappig']
Het was een koude winterdag in het dorp. De lucht was bewolkt en de wind blies fel; er was niet veel te zien in de stille straat. Maar toen hij de bocht omging, kon hij een glimlach niet onderdrukken.	['ijzig', 'thuis', 'traditie', 'ritueel', 'vertelling', 'geluid']
Er was eens een jonge vrouw die elke dag op de markt ging voor inkopen. Ze kocht er groenten, bloemen, kazen en meel	['kaas', 'appels', 'peer', 'melk', 'suiker']
Hij stapte eerst de deur uit in de koele ochtend, wat een prachtige dag was het. Met een zucht van tevredenheid liep hij naar zijn auto, 	['zoemend', 'route', 'verkeer', 'verplaatsen', 'voertuig']
Het was een mooie dag aan het strand. De zon schijnt en de duinen stretchten ver. Ik kijk naar de vogeltjes die vrolijk in de lucht cirkelde, genietend van het uitzicht.	['strand', 'zonsopgang', 'golven', 'duinen', 'boot']
Het was een koude avond in Amsterdam toen Maria uit haar huis ging lopen met haar hond.	['regen', 'stoep', 'straat', 'lantaarnpaal', 'winkel']
De vrouw had een moeilijke dag op haar werk en wilde niets liever dan naar huis gaan. Ze haastte zich om de bus te halen	['omroepen', 'tevreden', 'excuus', 'zuchten', 'samenkomen']
Het was een rustige zondagmiddag. De lucht was bewolkt en een koele bries blies door de straten. Dennis stond voor zijn huis en keek naar de lege straten.	['uitstraling', 'verrassend', 'verbaasd', 'buitengewoon', 'adembenemend']
